cell,problem_key,iB,arm,strategy,bound,est_min,est_rule,tag,n_seeds
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn8,reduce_nn,8,0.0,exact,p1-00000000,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub10,subsumption,10,0.4,exact,p1-00000040,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub12,subsumption,12,0.4,exact,p1-00000040,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub14,subsumption,14,0.4,exact,p1-00000040,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub2,subsumption,2,1.2,exact,p1-00000120,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub4,subsumption,4,0.4,exact,p1-00000040,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub6,subsumption,6,0.5,exact,p1-00000050,3
grid10x10f10_iB10,grids/grid10x10.f10,10,sub8,subsumption,8,0.4,exact,p1-00000040,3
grid20x20f2_iB10,grids/grid20x20.f2,10,nomerge,nomerge,,31.6,exact,p1-00003160,3
grid20x20f2_iB10,grids/grid20x20.f2,10,nonsub12,non_subsumption,12,23.3,exact,p1-00002330,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn10,reduce_nn,10,3.3,exact,p1-00000330,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn12,reduce_nn,12,5.8,exact,p1-00000580,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn14,reduce_nn,14,4.6,exact,p1-00000460,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn2,reduce_nn,2,14.5,exact,p1-00001450,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn4,reduce_nn,4,6.4,exact,p1-00000640,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn6,reduce_nn,6,5.4,exact,p1-00000540,3
grid20x20f2_iB10,grids/grid20x20.f2,10,rnn8,reduce_nn,8,5.5,exact,p1-00000550,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub10,subsumption,10,11.6,exact,p1-00001160,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub12,subsumption,12,10.9,exact,p1-00001090,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub14,subsumption,14,11.6,exact,p1-00001160,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub2,subsumption,2,20.8,exact,p1-00002080,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub4,subsumption,4,13.0,exact,p1-00001300,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub6,subsumption,6,12.6,exact,p1-00001260,3
grid20x20f2_iB10,grids/grid20x20.f2,10,sub8,subsumption,8,11.3,exact,p1-00001130,3
grid20x20f10_iB10,grids/grid20x20.f10,10,nomerge,nomerge,,30.8,exact,p1-00003080,3
grid20x20f10_iB10,grids/grid20x20.f10,10,nonsub12,non_subsumption,12,23.5,exact,p1-00002350,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn10,reduce_nn,10,3.1,exact,p1-00000310,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn12,reduce_nn,12,6.1,exact,p1-00000610,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn14,reduce_nn,14,4.7,exact,p1-00000470,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn2,reduce_nn,2,14.0,exact,p1-00001400,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn4,reduce_nn,4,5.7,exact,p1-00000570,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn6,reduce_nn,6,5.4,exact,p1-00000540,3
grid20x20f10_iB10,grids/grid20x20.f10,10,rnn8,reduce_nn,8,5.3,exact,p1-00000530,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub10,subsumption,10,11.4,exact,p1-00001140,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub12,subsumption,12,10.6,exact,p1-00001060,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub14,subsumption,14,11.5,exact,p1-00001150,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub2,subsumption,2,19.9,exact,p1-00001990,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub4,subsumption,4,12.7,exact,p1-00001270,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub6,subsumption,6,12.6,exact,p1-00001260,3
grid20x20f10_iB10,grids/grid20x20.f10,10,sub8,subsumption,8,11.2,exact,p1-00001120,3
grid20x20f5_iB10,grids/grid20x20.f5,10,nomerge,nomerge,,31.7,exact,p1-00003170,3
grid20x20f5_iB10,grids/grid20x20.f5,10,nonsub12,non_subsumption,12,23.4,exact,p1-00002340,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn10,reduce_nn,10,3.6,exact,p1-00000360,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn12,reduce_nn,12,5.7,exact,p1-00000570,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn14,reduce_nn,14,4.6,exact,p1-00000460,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn2,reduce_nn,2,14.0,exact,p1-00001400,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn4,reduce_nn,4,5.9,exact,p1-00000590,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn6,reduce_nn,6,5.2,exact,p1-00000520,3
grid20x20f5_iB10,grids/grid20x20.f5,10,rnn8,reduce_nn,8,4.9,exact,p1-00000490,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub10,subsumption,10,12.0,exact,p1-00001200,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub12,subsumption,12,11.3,exact,p1-00001130,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub14,subsumption,14,11.7,exact,p1-00001170,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub2,subsumption,2,19.3,exact,p1-00001930,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub4,subsumption,4,13.1,exact,p1-00001310,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub6,subsumption,6,12.5,exact,p1-00001250,3
grid20x20f5_iB10,grids/grid20x20.f5,10,sub8,subsumption,8,11.6,exact,p1-00001160,3
grid20x20f15_iB10,grids/grid20x20.f15,10,nomerge,nomerge,,30.4,exact,p1-00003040,3
grid20x20f15_iB10,grids/grid20x20.f15,10,nonsub12,non_subsumption,12,23.1,exact,p1-00002310,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn10,reduce_nn,10,3.2,exact,p1-00000320,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn12,reduce_nn,12,5.9,exact,p1-00000590,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn14,reduce_nn,14,4.5,exact,p1-00000450,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn2,reduce_nn,2,13.9,exact,p1-00001390,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn4,reduce_nn,4,5.9,exact,p1-00000590,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn6,reduce_nn,6,5.3,exact,p1-00000530,3
grid20x20f15_iB10,grids/grid20x20.f15,10,rnn8,reduce_nn,8,5.4,exact,p1-00000540,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub10,subsumption,10,11.5,exact,p1-00001150,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub12,subsumption,12,10.6,exact,p1-00001060,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub14,subsumption,14,11.5,exact,p1-00001150,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub2,subsumption,2,19.6,exact,p1-00001960,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub4,subsumption,4,12.9,exact,p1-00001290,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub6,subsumption,6,12.0,exact,p1-00001200,3
grid20x20f15_iB10,grids/grid20x20.f15,10,sub8,subsumption,8,11.4,exact,p1-00001140,3
rbm_20_iB20,dbn/rbm_20,20,nomerge,nomerge,,6.375,analogue,p1-00000638,3
rbm_20_iB20,dbn/rbm_20,20,nonsub12,non_subsumption,12,7.375,analogue,p1-00000738,3
rbm_20_iB20,dbn/rbm_20,20,rnn10,reduce_nn,10,4.8,analogue,p1-00000480,3
rbm_20_iB20,dbn/rbm_20,20,rnn12,reduce_nn,12,5.6,analogue,p1-00000560,3
rbm_20_iB20,dbn/rbm_20,20,rnn14,reduce_nn,14,9.225,analogue,p1-00000922,3
rbm_20_iB20,dbn/rbm_20,20,rnn2,reduce_nn,2,5.95,analogue,p1-00000595,3
rbm_20_iB20,dbn/rbm_20,20,rnn4,reduce_nn,4,5.625,analogue,p1-00000562,3
rbm_20_iB20,dbn/rbm_20,20,rnn6,reduce_nn,6,4.875,analogue,p1-00000488,3
rbm_20_iB20,dbn/rbm_20,20,rnn8,reduce_nn,8,4.65,analogue,p1-00000465,3
rbm_20_iB20,dbn/rbm_20,20,sub10,subsumption,10,5.725,analogue,p1-00000572,3
rbm_20_iB20,dbn/rbm_20,20,sub12,subsumption,12,5.5,analogue,p1-00000550,3
rbm_20_iB20,dbn/rbm_20,20,sub14,subsumption,14,5.675,analogue,p1-00000568,3
rbm_20_iB20,dbn/rbm_20,20,sub2,subsumption,2,6.2,analogue,p1-00000620,3
rbm_20_iB20,dbn/rbm_20,20,sub4,subsumption,4,5.6,analogue,p1-00000560,3
rbm_20_iB20,dbn/rbm_20,20,sub6,subsumption,6,5.825,analogue,p1-00000582,3
rbm_20_iB20,dbn/rbm_20,20,sub8,subsumption,8,5.575,analogue,p1-00000558,3
rbm_21_iB20,dbn/rbm_21,20,nomerge,nomerge,,4.6,exact,p1-00000460,3
rbm_21_iB20,dbn/rbm_21,20,nonsub12,non_subsumption,12,5.8,exact,p1-00000580,3
rbm_21_iB20,dbn/rbm_21,20,rnn10,reduce_nn,10,3.9,exact,p1-00000390,3
rbm_21_iB20,dbn/rbm_21,20,rnn12,reduce_nn,12,4.5,exact,p1-00000450,3
rbm_21_iB20,dbn/rbm_21,20,rnn14,reduce_nn,14,8.2,exact,p1-00000820,3
rbm_21_iB20,dbn/rbm_21,20,rnn2,reduce_nn,2,4.8,exact,p1-00000480,3
rbm_21_iB20,dbn/rbm_21,20,rnn4,reduce_nn,4,4.4,exact,p1-00000440,3
rbm_21_iB20,dbn/rbm_21,20,rnn6,reduce_nn,6,3.6,exact,p1-00000360,3
rbm_21_iB20,dbn/rbm_21,20,rnn8,reduce_nn,8,3.6,exact,p1-00000360,3
rbm_21_iB20,dbn/rbm_21,20,sub10,subsumption,10,4.3,exact,p1-00000430,3
rbm_21_iB20,dbn/rbm_21,20,sub12,subsumption,12,3.8,exact,p1-00000380,3
rbm_21_iB20,dbn/rbm_21,20,sub14,subsumption,14,4.2,exact,p1-00000420,3
rbm_21_iB20,dbn/rbm_21,20,sub2,subsumption,2,4.2,exact,p1-00000420,3
rbm_21_iB20,dbn/rbm_21,20,sub4,subsumption,4,4.5,exact,p1-00000450,3
rbm_21_iB20,dbn/rbm_21,20,sub6,subsumption,6,4.3,exact,p1-00000430,3
rbm_21_iB20,dbn/rbm_21,20,sub8,subsumption,8,4.4,exact,p1-00000440,3
rbm_22_iB20,dbn/rbm_22,20,nomerge,nomerge,,6.4,exact,p1-00000640,3
rbm_22_iB20,dbn/rbm_22,20,nonsub12,non_subsumption,12,8.5,exact,p1-00000850,3
rbm_22_iB20,dbn/rbm_22,20,rnn10,reduce_nn,10,4.7,exact,p1-00000470,3
rbm_22_iB20,dbn/rbm_22,20,rnn12,reduce_nn,12,5.5,exact,p1-00000550,3
rbm_22_iB20,dbn/rbm_22,20,rnn14,reduce_nn,14,9.8,exact,p1-00000980,3
rbm_22_iB20,dbn/rbm_22,20,rnn2,reduce_nn,2,5.6,exact,p1-00000560,3
rbm_22_iB20,dbn/rbm_22,20,rnn4,reduce_nn,4,5.1,exact,p1-00000510,3
rbm_22_iB20,dbn/rbm_22,20,rnn6,reduce_nn,6,5.1,exact,p1-00000510,3
rbm_22_iB20,dbn/rbm_22,20,rnn8,reduce_nn,8,4.6,exact,p1-00000460,3
rbm_22_iB20,dbn/rbm_22,20,sub10,subsumption,10,5.2,exact,p1-00000520,3
rbm_22_iB20,dbn/rbm_22,20,sub12,subsumption,12,5.0,exact,p1-00000500,3
rbm_22_iB20,dbn/rbm_22,20,sub14,subsumption,14,5.3,exact,p1-00000530,3
rbm_22_iB20,dbn/rbm_22,20,sub2,subsumption,2,6.4,exact,p1-00000640,3
rbm_22_iB20,dbn/rbm_22,20,sub4,subsumption,4,5.0,exact,p1-00000500,3
rbm_22_iB20,dbn/rbm_22,20,sub6,subsumption,6,5.5,exact,p1-00000550,3
rbm_22_iB20,dbn/rbm_22,20,sub8,subsumption,8,5.1,exact,p1-00000510,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,nomerge,nomerge,,6.375,analogue,p1-00000638,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,nonsub12,non_subsumption,12,7.375,analogue,p1-00000738,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn10,reduce_nn,10,4.8,analogue,p1-00000480,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn12,reduce_nn,12,5.6,analogue,p1-00000560,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn14,reduce_nn,14,9.225,analogue,p1-00000922,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn2,reduce_nn,2,5.95,analogue,p1-00000595,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn4,reduce_nn,4,5.625,analogue,p1-00000562,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn6,reduce_nn,6,4.875,analogue,p1-00000488,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,rnn8,reduce_nn,8,4.65,analogue,p1-00000465,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub10,subsumption,10,5.725,analogue,p1-00000572,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub12,subsumption,12,5.5,analogue,p1-00000550,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub14,subsumption,14,5.675,analogue,p1-00000568,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub2,subsumption,2,6.2,analogue,p1-00000620,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub4,subsumption,4,5.6,analogue,p1-00000560,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub6,subsumption,6,5.825,analogue,p1-00000582,3
rbm_ferro_20_iB20,dbn/rbm_ferro_20,20,sub8,subsumption,8,5.575,analogue,p1-00000558,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,nomerge,nomerge,,7.4,exact,p1-00000740,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,nonsub12,non_subsumption,12,6.9,exact,p1-00000690,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn10,reduce_nn,10,5.1,exact,p1-00000510,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn12,reduce_nn,12,6.1,exact,p1-00000610,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn14,reduce_nn,14,8.8,exact,p1-00000880,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn2,reduce_nn,2,7.3,exact,p1-00000730,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn4,reduce_nn,4,6.9,exact,p1-00000690,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn6,reduce_nn,6,5.8,exact,p1-00000580,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,rnn8,reduce_nn,8,5.4,exact,p1-00000540,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub10,subsumption,10,7.3,exact,p1-00000730,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub12,subsumption,12,7.0,exact,p1-00000700,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub14,subsumption,14,7.0,exact,p1-00000700,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub2,subsumption,2,7.3,exact,p1-00000730,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub4,subsumption,4,6.9,exact,p1-00000690,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub6,subsumption,6,7.2,exact,p1-00000720,3
rbm_ferro_21_iB20,dbn/rbm_ferro_21,20,sub8,subsumption,8,6.8,exact,p1-00000680,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,nomerge,nomerge,,7.1,exact,p1-00000710,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,nonsub12,non_subsumption,12,8.3,exact,p1-00000830,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn10,reduce_nn,10,5.5,exact,p1-00000550,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn12,reduce_nn,12,6.3,exact,p1-00000630,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn14,reduce_nn,14,10.1,exact,p1-00001010,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn2,reduce_nn,2,6.1,exact,p1-00000610,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn4,reduce_nn,4,6.1,exact,p1-00000610,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn6,reduce_nn,6,5.0,exact,p1-00000500,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,rnn8,reduce_nn,8,5.0,exact,p1-00000500,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub10,subsumption,10,6.1,exact,p1-00000610,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub12,subsumption,12,6.2,exact,p1-00000620,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub14,subsumption,14,6.2,exact,p1-00000620,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub2,subsumption,2,6.9,exact,p1-00000690,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub4,subsumption,4,6.0,exact,p1-00000600,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub6,subsumption,6,6.3,exact,p1-00000630,3
rbm_ferro_22_iB20,dbn/rbm_ferro_22,20,sub8,subsumption,8,6.0,exact,p1-00000600,3
rbm_20_iB10,dbn/rbm_20,10,nomerge,nomerge,,13.7,exact,p1-00001370,3
rbm_20_iB10,dbn/rbm_20,10,nonsub12,non_subsumption,12,18.7,exact,p1-00001870,3
rbm_20_iB10,dbn/rbm_20,10,rnn10,reduce_nn,10,3.6,exact,p1-00000360,3
rbm_20_iB10,dbn/rbm_20,10,rnn12,reduce_nn,12,4.0,exact,p1-00000400,3
rbm_20_iB10,dbn/rbm_20,10,rnn14,reduce_nn,14,5.9,exact,p1-00000590,3
rbm_20_iB10,dbn/rbm_20,10,rnn2,reduce_nn,2,8.4,exact,p1-00000840,3
rbm_20_iB10,dbn/rbm_20,10,rnn4,reduce_nn,4,6.0,exact,p1-00000600,3
rbm_20_iB10,dbn/rbm_20,10,rnn6,reduce_nn,6,5.1,exact,p1-00000510,3
rbm_20_iB10,dbn/rbm_20,10,rnn8,reduce_nn,8,4.7,exact,p1-00000470,3
rbm_20_iB10,dbn/rbm_20,10,sub10,subsumption,10,6.5,exact,p1-00000650,3
rbm_20_iB10,dbn/rbm_20,10,sub12,subsumption,12,3.8,exact,p1-00000380,3
rbm_20_iB10,dbn/rbm_20,10,sub14,subsumption,14,4.0,exact,p1-00000400,3
rbm_20_iB10,dbn/rbm_20,10,sub2,subsumption,2,10.1,exact,p1-00001010,3
rbm_20_iB10,dbn/rbm_20,10,sub4,subsumption,4,5.8,exact,p1-00000580,3
rbm_20_iB10,dbn/rbm_20,10,sub6,subsumption,6,5.5,exact,p1-00000550,3
rbm_20_iB10,dbn/rbm_20,10,sub8,subsumption,8,5.9,exact,p1-00000590,3
rbm_21_iB10,dbn/rbm_21,10,nomerge,nomerge,,19.2,exact,p1-00001920,3
rbm_21_iB10,dbn/rbm_21,10,nonsub12,non_subsumption,12,22.5,exact,p1-00002250,3
rbm_21_iB10,dbn/rbm_21,10,rnn10,reduce_nn,10,6.2,exact,p1-00000620,3
rbm_21_iB10,dbn/rbm_21,10,rnn12,reduce_nn,12,4.9,exact,p1-00000490,3
rbm_21_iB10,dbn/rbm_21,10,rnn14,reduce_nn,14,7.7,exact,p1-00000770,3
rbm_21_iB10,dbn/rbm_21,10,rnn2,reduce_nn,2,11.3,exact,p1-00001130,3
rbm_21_iB10,dbn/rbm_21,10,rnn4,reduce_nn,4,6.6,exact,p1-00000660,3
rbm_21_iB10,dbn/rbm_21,10,rnn6,reduce_nn,6,5.1,exact,p1-00000510,3
rbm_21_iB10,dbn/rbm_21,10,rnn8,reduce_nn,8,4.8,exact,p1-00000480,3
rbm_21_iB10,dbn/rbm_21,10,sub10,subsumption,10,6.6,exact,p1-00000660,3
rbm_21_iB10,dbn/rbm_21,10,sub12,subsumption,12,4.1,exact,p1-00000410,3
rbm_21_iB10,dbn/rbm_21,10,sub14,subsumption,14,4.7,exact,p1-00000470,3
rbm_21_iB10,dbn/rbm_21,10,sub2,subsumption,2,10.3,exact,p1-00001030,3
rbm_21_iB10,dbn/rbm_21,10,sub4,subsumption,4,5.9,exact,p1-00000590,3
rbm_21_iB10,dbn/rbm_21,10,sub6,subsumption,6,5.5,exact,p1-00000550,3
rbm_21_iB10,dbn/rbm_21,10,sub8,subsumption,8,6.3,exact,p1-00000630,3
rbm_22_iB10,dbn/rbm_22,10,nomerge,nomerge,,19.5,exact,p1-00001950,3
rbm_22_iB10,dbn/rbm_22,10,nonsub12,non_subsumption,12,25.6,exact,p1-00002560,3
rbm_22_iB10,dbn/rbm_22,10,rnn10,reduce_nn,10,6.5,exact,p1-00000650,3
rbm_22_iB10,dbn/rbm_22,10,rnn12,reduce_nn,12,5.8,exact,p1-00000580,3
rbm_22_iB10,dbn/rbm_22,10,rnn14,reduce_nn,14,10.0,exact,p1-00001000,3
rbm_22_iB10,dbn/rbm_22,10,rnn2,reduce_nn,2,12.9,exact,p1-00001290,3
rbm_22_iB10,dbn/rbm_22,10,rnn4,reduce_nn,4,7.4,exact,p1-00000740,3
rbm_22_iB10,dbn/rbm_22,10,rnn6,reduce_nn,6,6.3,exact,p1-00000630,3
rbm_22_iB10,dbn/rbm_22,10,rnn8,reduce_nn,8,6.4,exact,p1-00000640,3
rbm_22_iB10,dbn/rbm_22,10,sub10,subsumption,10,8.7,exact,p1-00000870,3
rbm_22_iB10,dbn/rbm_22,10,sub12,subsumption,12,13.1,exact,p1-00001310,3
rbm_22_iB10,dbn/rbm_22,10,sub14,subsumption,14,5.2,exact,p1-00000520,3
rbm_22_iB10,dbn/rbm_22,10,sub2,subsumption,2,14.9,exact,p1-00001490,3
rbm_22_iB10,dbn/rbm_22,10,sub4,subsumption,4,10.3,exact,p1-00001030,3
rbm_22_iB10,dbn/rbm_22,10,sub6,subsumption,6,8.4,exact,p1-00000840,3
rbm_22_iB10,dbn/rbm_22,10,sub8,subsumption,8,7.0,exact,p1-00000700,3
